text,emotion
To niesamowite doswiadczenie!,szczesliwy
To musze jeszcze zweryfikowac,neutralny
Znowu czuje sie bezradny.,smutny
To jest cos fantastycznego!,zaskoczony
To pelnia szczescia!,szczesliwy
Nie wierze w to!,przerazony
Potrzebuje chwili na analize,neutralny
Zaraz wybuchne z leku!,przerazony
Jestem naprawde szczesliwy!,szczesliwy
Chcialbym zapomniec o wszystkim.,smutny
Nie moge uwierzyc w to,przerazony
Zaskoczylo mnie to bardziej niz myslalem! ,zaskoczony
Zupelnie tego nie pojmuje. ,zdegustowany
Jakie to wszystko jest zachwycajace.,kontemplujacy
To po prostu nie daje mi spokoju,zly
To super wiadomosc!,zaskoczony
To jak najlepszy wybor!,szczesliwy
Kazdy moment tej chwili pomaga mi poczuc gleboki spokoj.,kontemplujacy
Po prostu czuje sie jak porazka,zly
Jestem calkowicie zalamany.,smutny
Brak slow na taki poziom,zdegustowany
To jest zbyt przerazajace!,przerazony
Po takim zawodzie trudno cokolwiek jeszcze traktowac powaznie. ,zdegustowany
Zaraz znikne z tego strachu!,przerazony
To jak cudowna chwila!,szczesliwy
Znowu wszystko mi sie rozsypuje,zly
To mnie przerasta,zly
Zgroza,zdegustowany
Jestem pelen entuzjazmu!,szczesliwy
Znowu to sie nie udalo,zly
Nie mam juz cierpliwosci do tego,zdegustowany
To przeszlo moje wszelkie oczekiwania,zdegustowany
Musze to jeszcze omowic,neutralny
Nie potrafie sie uspokoic,przerazony
To jest zbyt przerazajace!,przerazony
Jestem przepelniony wdziecznoscia!,szczesliwy
To jak spelnione marzenie!,szczesliwy
Zaraz rozwiazemy problem,neutralny
To naprawde wyjatkowa chwila!,szczesliwy
Nie moge dluzej tego znosic!,zly
Za chwile to zrobimy,neutralny
To uczucie jak czarna dziura,przerazony
Jakie to wszystko jest nadzwyczajnie piekne.,kontemplujacy
To absolutnie przekracza moje wyobraznie!,zaskoczony
To jak spelnione marzenie!,szczesliwy
Po prostu nie wytrzymam juz tej sytuacji,zly
To idealna okazja!,szczesliwy
Po prostu nie wytrzymam dluzej,zdegustowany
Nie widze zadnego wyjscia.,smutny
Znowu to sie nie udalo,zly
Jakby ziemia osunela mi sie pod nogami,przerazony
Za moment to rozwiazemy,neutralny
Zaraz oszaleje!,przerazony
To naprawde mnie wyczerpuje.,zly
Zamykam oczy i pozwalam spokoju tego miejsca przeniknac kazda komorke mojego ciala.,kontemplujacy
To nie jest w porzadku,zdegustowany
Nie moge tego zaakceptowac,zdegustowany
Znowu wszystko sie zawalilo.,smutny
Jestem pelen entuzjazmu!,szczesliwy
Zajme sie tym pozniej,neutralny
Znowu wszystko sie rozpadlo,zly
Nie mam juz w sobie radosci.,smutny
Nie pojmuje tej sytuacji,zdegustowany
Jestem wsciekly,zly
To jest calkowicie nieakceptowalne. ,zdegustowany
Zaraz to zrobimy,neutralny
To jest wyjatkowo nieudolne,zdegustowany
Za moment to zrealizuje,neutralny
Chwila spokoju pomaga mi poczuc sie w pelni obecnym w tej chwili.,kontemplujacy
To uczucie przebija kazda moja pewnosc,przerazony
To wymaga analizy,neutralny
To jak najlepsza przygoda!,szczesliwy
Po prostu tego nie znosze,zly
Brak mi slow na ten poziom,zdegustowany
Nie mam nadziei na przyszlosc.,smutny
To nie jest normalne,zdegustowany
Nie mam nadziei na przyszlosc.,smutny
To uczucie blokuje kazdy moj ruch,przerazony
Kazda chwila odpoczynku pozwala mi poczuc pelna harmonie.,kontemplujacy
Jestem pelen radosci!,szczesliwy
To miejsce przenosi mnie w inny wymiar.,kontemplujacy
Nie potrafie zebrac mysli,przerazony
Brak kompetencji az razi,zdegustowany
Nie moge przestac sie bac,przerazony
To jest nie do wytrzymania,zdegustowany
Co za koszmar,przerazony
To mnie zniszczylo.,smutny
To jak spelnione marzenie!,szczesliwy
Nie potrafie powstrzymac swojej paniki,przerazony
Zaraz zaczynam panikowac!,przerazony
To naprawde przeroslo wszystkie moje oczekiwania!,zaskoczony
To wszystko wydaje sie byc bez sensu.,smutny
Jestem pelen radosci!,szczesliwy
Stracilem swoja wiare.,smutny
To jest zbyt trudne do zaakceptowania.,smutny
To jest nie do wytrzymania,zdegustowany
Jestem pelen emocji i radosci!,szczesliwy
Trzeba to sprawdzic,neutralny
To mnie po prostu przerasta,zly
Nie potrafie tego zniesc,zly
Znowu wszystko na marne,zly
Co sie stanie?!,przerazony
To uczucie mnie powstrzymuje,przerazony
To niesamowity czas pelen szczescia!,szczesliwy
Jestem pelen radosci!,szczesliwy
Jestem pelen zadowolenia!,szczesliwy
To jak najlepsza chwila w moim zyciu!,szczesliwy
To jest nie do wytrzymania,zly
Jestem pelen entuzjazmu!,szczesliwy
Po prostu nie jestem w stanie tego zaakceptowac. ,zdegustowany
Jestem pelen radosci i energii!,szczesliwy
To uczucie zakleszcza mnie w bezruchu,przerazony
To mnie po prostu wykancza!,zly
To naprawde zniechecajace,zdegustowany
Nie moge sie z tym pogodzic. ,zdegustowany
To jest naprawde zle,zdegustowany
Nie wytrzymam tego leku!,przerazony
Znowu czuje sie nieistotny.,smutny
Po prostu nie wytrzymam,zly
To jak spelnione marzenie!,szczesliwy
To jest nie do opisania,przerazony
Nie wytrzymam tego strachu!,przerazony
Nie potrafie wyjsc z tego strachu,przerazony
Czuje sie kompletnie bezsilny.,smutny
Prosze o chwile,neutralny
Po prostu wszystko sie wali,zly
Jestem pelen energii i radosci!,szczesliwy
Zaraz znajde odpowiedz,neutralny
To jak najlepszy wybor!,szczesliwy
Jestem pelen milosci i entuzjazmu!,szczesliwy
To sie nie moze dziac!,przerazony
Zaraz to rozwaze,neutralny
Ta chwila odpoczynku daje mi poczucie pelnego ukojenia.,kontemplujacy
Znowu czuje sie sam.,smutny
Jakie to wszystko jest wspaniale proste.,kontemplujacy
To uczucie zabiera mi oddech,przerazony
Jestem naprawde szczesliwy!,szczesliwy
Sprawdze szczegoly pozniej,neutralny
Znowu mam do czynienia z tym samym problemem!,zly
To trzeba jeszcze przemyslec,neutralny
Zajmuje sie tym teraz,neutralny
Kazdy dzwiek przyrody mnie uspokaja.,kontemplujacy
To jak spelnione marzenie!,szczesliwy
Nie mam sily na nic.,smutny
Znowu to sie stalo,zly
To uczucie przeszywa mnie jak ostrze,przerazony
To jest wyjatkowo zenujace,zdegustowany
To jest tragiczne,zly
To juz koniec moich nadziei.,smutny
Zrobimy to po kolei,neutralny
To wszystko jest zbyt straszne!,przerazony
Nie wytrzymam tego leku!,przerazony
Jestem przepelniony wdziecznoscia!,szczesliwy
Potrzebuje chwile na sprawdzenie,neutralny
To straszne,przerazony
Co sie dzieje?!,przerazony
To mnie po prostu dobija!,zly
Znowu sie wszystko sypie!,zly
To jakby ktos zniszczyl moje nadzieje,zdegustowany
To przekroczylo moje wyobrazenia! ,zaskoczony
Znowu mam do czynienia z tym samym problemem!,zly
Jestem pelen entuzjazmu!,szczesliwy
Zajmijmy sie tym pozniej,neutralny
Zaraz sie rozpadne!,przerazony
Znowu zawiodlem wszystkich.,smutny
To najlepszy czas w moim zyciu!,szczesliwy
Czuje sie bardzo przygnebiony.,smutny
Jestem pelen entuzjazmu i radosci!,szczesliwy
Rownowaga wypelnia moja dusze.,kontemplujacy
Kazdy dzwiek natury to muzyka.,kontemplujacy
Nie mam nadziei na przyszlosc.,smutny
To jest nie do pomyslenia,zdegustowany
Znowu wszystko na marne,zly
Chwila ciszy wypelnia mnie spokojem i poczuciem pelni.,kontemplujacy
To przeroslo moje oczekiwania!,zaskoczony
Trzeba to jeszcze potwierdzic,neutralny
Trzeba to sprawdzic,neutralny
To jak najlepszy wybor!,szczesliwy
Znowu wszystko sie zawalilo,zly
Patrze na przestrzen wokol i czuje gleboki oddech.,kontemplujacy
To najpiekniejsza chwila mojego zycia!,szczesliwy
Jak to mozliwe?,przerazony
Zaraz nie bede mogl oddychac!,przerazony
Za chwile znajde rozwiazanie,neutralny
Znowu czuje sie jakbym nie mial nikogo.,smutny
Po prostu czuje sie bezradny!,zly
Po prostu to mnie przerasta,zly
Patrze i czuje sie blisko natury.,kontemplujacy
Stracilem wiare w ludzi.,smutny
To dla mnie zbyt trudne.,smutny
Nie mam juz nadziei na przyszlosc.,smutny
Jestem pelen pozytywnych emocji i entuzjazmu!,szczesliwy
To wymaga dokladniejszego sprawdzenia,neutralny
Skontaktuje sie z odpowiednia osoba,neutralny
Znowu czuje sie jakbym byl sam w tym swiecie.,smutny
Jestem w pelni szczesliwy!,szczesliwy
Znowu trace nadzieje na przyszlosc.,smutny
Kazda proba wyjscia z tej sytuacji wydaje sie byc beznadziejna. ,zdegustowany
Nie mam sily na dalsza walke.,smutny
To musze potwierdzic,neutralny
To mnie przytlacza!,zly
To wszystko jest nie do zniesienia,zly
To absolutnie najlepsze!,szczesliwy
Znowu musze przejsc przez to samo,zly
To wspaniala chwila!,szczesliwy
To najlepsze uczucie!,szczesliwy
Skontaktuje sie z kims pozniej,neutralny
To jest zwyczajnie glupie,zdegustowany
Nie spodziewalem sie tego wcale!,zaskoczony
Znowu wszystko idzie zle,zly
Nie moge sie wybudzic z tego koszmaru,przerazony
Zgubilem siebie w tym wszystkim.,smutny
To jest naprawde niesamowite!,szczesliwy
Czuje sie jak w martwym punkcie.,smutny
Nie jestem w stanie niczego zmienic.,smutny
Nie potrafie zlapac oddechu z tego powodu,przerazony
To przekroczylo moje granice. ,zdegustowany
Zaraz wroce z odpowiedzia,neutralny
To jest po prostu nie do przyjecia,zly
Nie wytrzymam dluzej,zly
Nie wytrzymam juz tej calej sytuacji,zly
Sprawdze to pozniej,neutralny
Potrzebuje chwili czasu,neutralny
Zaraz sie tym zajme,neutralny
To sie udalo!,zaskoczony
Moje zycie stracilo wszystkie kolory.,smutny
Nie moge tego zniesc!,przerazony
Potrzebuje kilku minut,neutralny
To musze jeszcze przemyslec,neutralny
Znowu czuje sie jak nieudacznik.,smutny
To mnie doslownie wykancza,przerazony
Nie moge przestac sie usmiechac!,szczesliwy
Po prostu chce zasnac i nie budzic sie.,smutny
To prawdziwe szczescie!,szczesliwy
To koszmar na jawie,przerazony
Za chwile sprawdzimy,neutralny
Za chwile to wyjasnie,neutralny
To jest absolutnie nie do przyjecia,zdegustowany
To absolutnie nie do zaakceptowania. ,zdegustowany
Nie potrafie przestac myslec o zagrozeniu,przerazony
Mozemy to zrobic w prosty sposob,neutralny
Za chwile wroce do tematu,neutralny
Strach mnie doslownie powali!,przerazony
Chcialbym to wszystko zakonczyc.,smutny
Stracilem sens zycia.,smutny
Jestem w pelni szczesliwy!,szczesliwy
Wewnetrzna harmonia ogarnia moje serce.,kontemplujacy
Nie potrafie poradzic sobie z tym strachem,przerazony
To jak wspanialy sen!,szczesliwy
To po prostu mnie przerasta,zly
To wymaga weryfikacji,neutralny
Jestem tym wszystkim wyczerpany.,zly
To absolutnie genialne!,szczesliwy
To jak najpiekniejszy dzien!,szczesliwy
Po prostu nie wytrzymam juz tego wszystkiego,zly
Totalna porazka,zdegustowany
Moje zycie jest pelne rozczarowan.,smutny
To mnie dobija,zdegustowany
To absolutnie wyjatkowy moment!,szczesliwy
Jak mozna tak postepowac?,zdegustowany
To jak najlepsza przygoda!,szczesliwy
To najlepsza decyzja w moim zyciu!,szczesliwy
Nie widze juz dla siebie przyszlosci.,smutny
Zaraz to zrobimy,neutralny
Sprawdze to pozniej,neutralny
Nic mi nie wychodzi.,smutny
Jestem pelen pozytywnych emocji!,szczesliwy
To mnie wkurza do granic,zly
Spokoj ogarnia moja dusze.,kontemplujacy
To wyglada na totalna porazke. ,zdegustowany
To mnie calkowicie przeroslo. ,zdegustowany
Kazdy szczegol jest wazny.,kontemplujacy
Jestem pelen entuzjazmu!,szczesliwy
Co sie dzieje?!,przerazony
Jestem pelen szczescia!,szczesliwy
Znowu czuje sie jakbym nie mial celu.,smutny
To koszmar,przerazony
To juz nie ma zadnej radosci.,smutny
Znowu wszystko sie rozpadlo,zly
To absolutnie cudowne!,szczesliwy
Znowu wszystko mnie przytlacza.,smutny
Zrobmy to razem,neutralny
Zajmijmy sie tym jednym krokiem na raz,neutralny
Zaraz znajde odpowiedz,neutralny
Zglosze to po sprawdzeniu,neutralny
Nie potrafie tego zniesc!,przerazony
To zupelnie niespodziewane! ,zaskoczony
Juz nie potrafie znalezc sensu w tym wszystkim.,smutny
Nie ma nic cenniejszego niz spokojna chwila z dala od zgielku.,kontemplujacy
Potrzebuje kilku minut na to,neutralny
Zaskoczylo mnie to w najlepszy sposob! ,zaskoczony
Nie mam juz sily na zycie.,smutny
Za chwile podam odpowiedz,neutralny
Nie spodziewalem sie czegos takiego! ,zaskoczony
Po prostu nie potrafie tego zniesc,zly
Zaraz cos strasznego sie wydarzy!,przerazony
Czuje sie taki maly wobec ogromu natury.,kontemplujacy
Nie moge tego zaakceptowac,zdegustowany
Nie moge sie uwolnic od tego strachu,przerazony
To mnie zupelnie zaskoczylo,zdegustowany
Po prostu nie wytrzymam juz dluzej,zly
Co za swietny moment!,szczesliwy
To jak najlepszy wybor!,szczesliwy
Nie mam juz sily na to wszystko.,smutny
Stracilem radosc.,smutny
Nie moge sie z tego wydostac,przerazony
Nie moge juz tego wytrzymac,zly
To mnie wykonczylo,zly
Nie potrafie sie uwolnic od tego uczucia,przerazony
Jestem w tym,neutralny
To porazka na kazdym kroku,zdegustowany
Nie dam rady juz tego wytrzymac,zly
Jestem pelen energii!,szczesliwy
Znowu musze stawic czola tej samej trudnosci!,zly
To nie moze byc prawda! ,zdegustowany
Stracilem cos bardzo waznego.,smutny
Znowu wszyscy mnie zawiedli.,smutny
To jak wyjatkowy moment!,szczesliwy
Zaraz wroce z odpowiedzia,neutralny
Nie wytrzymam juz tego wszystkiego!,zly
Stracilem sens w wszystkim.,smutny
Czuje sie jakbym stracil grunt pod nogami.,smutny
Za moment bedziemy mieli odpowiedz,neutralny
Nie jestem w stanie tego zrozumiec,zdegustowany
Przygotuje dokumentacje,neutralny
To trzeba jeszcze potwierdzic,neutralny
Rownowaga wypelnia mnie calkowicie.,kontemplujacy
To najlepszy dzien mojego zycia!,szczesliwy
Nie mam sily na nic.,smutny
Jestem pelen pozytywnych emocji!,szczesliwy
To przekracza wszelkie granice,zdegustowany
Zglosze to po rozmowie,neutralny
Jestem absolutnie szczesliwy!,szczesliwy
To naprawde wyjatkowe!,szczesliwy
Zostalem sam ze swoim bolem.,smutny
Po prostu nie wytrzymam juz tej sytuacji,zly
Znowu czuje sie odrzucony przez wszystkich.,smutny
To cudowne uczucie byc tutaj!,szczesliwy
Nie potrafie przestac o tym myslec.,smutny
Skontaktuje sie z kims odpowiedzialnym,neutralny
Jestem pelen pozytywnych emocji!,szczesliwy
Nie potrafie zapanowac nad lekiem,przerazony
To jest przerazajace,przerazony
Zajmijmy sie tym pozniej,neutralny
Po prostu nie potrafie tego zniesc,zly
To jakby ktos zniszczyl wszystko,zdegustowany
Zaraz to sprawdzimy,neutralny
Zaraz to rozwiaze,neutralny
To mnie znowu pokonalo!,zly
Po prostu to nie dziala,zly
Znowu czuje sie jakbym nie mial wyjscia.,smutny
To jakby cos miazdzylo moja dusze,przerazony
Znowu czuje sie zagubiony w tym swiecie.,smutny
Po prostu nie potrafie tego rozwiazac,zly
To mnie totalnie przeroslo.,smutny
To nie moze byc prawda,zly
Nie mam nadziei na przyszlosc.,smutny
Zgubilem sie w tym wszystkim.,smutny
Znowu nie potrafie znalezc wyjscia,zly
To jest wysoce nieprofesjonalne,zdegustowany
Jestem naprawde szczesliwy!,szczesliwy
Zalatwimy to w odpowiednim czasie,neutralny
Stracilem poczucie celu.,smutny
Nie potrafie sobie poradzic!,zly
Zaraz to mnie zalamie!,przerazony
Co za piekna okazja!,szczesliwy
Skontaktuje sie z kims w tej sprawie,neutralny
Jestem pelen pozytywnych emocji!,szczesliwy
To wymaga weryfikacji,neutralny
To absolutnie fantastyczne!,szczesliwy
Znowu wszystko na nic,zly
Jestem tak wdzieczny!,szczesliwy
Jakie to wszystko jest pelne swiatla i cienia.,kontemplujacy
Nie mam juz nadziei.,smutny
Zostalem sam z moim bolem.,smutny
Za moment to zweryfikuje,neutralny
Patrze i odczuwam glebie wewnetrznego spokoju.,kontemplujacy
Jestem pelen entuzjazmu!,szczesliwy
Nie potrafie przestac sie bac o przyszlosc,przerazony
Zaraz sie tym zajmiemy,neutralny
Jestem pelen pozytywnych mysli!,szczesliwy
Po prostu wspaniale!,szczesliwy
Kazdy moment w tej chwili przynosi mi poczucie spokoju i harmonii.,kontemplujacy
Chcialbym poznac wszystkie opcje,neutralny
Nie potrafie sie uspokoic,przerazony
To jak spelnienie mojego marzenia!,szczesliwy
Jestem pelen wdziecznosci i milosci!,szczesliwy
Jestem przepelniony szczesciem!,szczesliwy
Kazdy promien slonca mnie rozgrzewa.,kontemplujacy
To jak cudowna przygoda!,szczesliwy
To jak cudowna chwila!,szczesliwy
Nie potrafie tego pojac,przerazony
Jestem pelen milosci do wszystkiego!,szczesliwy
Zajmuje sie tym po rozmowie,neutralny
Zaraz mnie to zlamie!,przerazony
To najlepszy moment w moim zyciu!,szczesliwy
To jak najlepsza decyzja!,szczesliwy
Czemu zawsze musze walczyc o swoje?,zly
Nie mam sil na kolejne porazki!,zly
Nie moge oddychac z tego strachu!,przerazony
Czuje sie tu jak w domu.,kontemplujacy
Zglosze te sprawe do odpowiednich osob,neutralny
Po co to wszystko?,zly
Nie moge zapanowac nad wlasnymi myslami,przerazony
To totalna niespodzianka! ,zaskoczony
Ale cudo!,zaskoczony
To absolutnie genialne!,szczesliwy
Nie potrafie znalezc w sobie sily,przerazony
To przeroslo wszelkie moje oczekiwania!,zaskoczony
To nie ma sensu,zly
To trzeba jeszcze przeanalizowac,neutralny
To wszystko mnie wykancza!,zly
To jest nierealne! ,zaskoczony
Chcialbym omowic to pozniej,neutralny
To uczucie zaslania wszystko jak gesta mgla,przerazony
To mnie kompletnie rozwalilo.,smutny
To wyglada jak najgorszy koszmar,przerazony
To uczucie trzyma mnie w miejscu,przerazony
To jest nieakceptowalne w kazdym aspekcie. ,zdegustowany
Co za wspaniale przezycie!,szczesliwy
Za moment to zweryfikuje,neutralny
Jestem pelen ekscytacji i radosci!,szczesliwy
Zajmijmy sie tym pozniej,neutralny
Zaraz nie wytrzymam tego strachu!,przerazony
To nie jest trudne,neutralny
To mnie przeraza,przerazony
Patrze i czuje spokoj umyslu.,kontemplujacy
To jest jak magia! ,zaskoczony
Po prostu nie wytrzymam tej presji,zly
Totalna glupota,zdegustowany
Nic nie daje mi nadziei.,smutny
To mnie wykancza psychicznie.,zly
To absolutnie genialne przezycie!,szczesliwy
Trzeba to jeszcze zweryfikowac,neutralny
Jestem pelen optymizmu!,szczesliwy
Sprawdze to pozniej,neutralny
Zajmijmy sie tym pozniej,neutralny
To uczucie przychodzi jak nagly uderzenie strachu,przerazony
Czuje sie bezradny.,smutny
Jestem pelen radosci i optymizmu!,szczesliwy
Jestem tym juz zmeczony,zly
Czuje sie rozbity.,smutny
To mnie naprawde wkurza!,zly
To jak cudowna chwila!,szczesliwy
Skontaktuje sie z odpowiednia osoba,neutralny
Nie potrafie zlapac oddechu,przerazony
Jestem pelen radosci!,szczesliwy
Potrzebuje kilku minut,neutralny
Znowu wszystko mi sie rozsypuje,zly
To absolutnie wspaniala okazja!,szczesliwy
To wymaga dalszej analizy,neutralny
Za chwile podam szczegoly,neutralny
To miejsce daje mi wiele do myslenia.,kontemplujacy
Nie potrafie tego wytrzymac,przerazony
To jest koszmar,przerazony
Zaraz dostane zawalu!,przerazony
Jestem pelen pozytywnej energii i ekscytacji!,szczesliwy
To jest zalosne,zdegustowany
Jestem pelen energii!,szczesliwy
Jestem pelen szczescia!,szczesliwy
To mnie zniszczy!,przerazony
Znowu wszystko mnie przytlacza.,smutny
Nie wierze w to,przerazony
Jak mozna byc tak bezmyslnym? ,zdegustowany
Zaraz to omowie,neutralny
Nie do pomyslenia,zdegustowany
Nie potrafie tego zniesc,zly
Potrzebuje chwile na zastanowienie sie,neutralny
Zawsze o tym marzylem!,szczesliwy
Jestem pelen radosci i szczescia!,szczesliwy
Skontaktuje sie z kims,neutralny
To mnie calkowicie przeroslo.,smutny
Jestem pelen ekscytacji!,szczesliwy
Co sie dzieje?!,przerazony
Nie mam sily na nic.,smutny
Nie wytrzymam juz tej sytuacji!,zly
To uczucie nie ustepuje,przerazony
Czuje sie samotny i zapomniany.,smutny
Jestem pelen szczescia!,szczesliwy
To jak najlepsza chwila!,szczesliwy
Znowu wszystko mnie przeroslo.,smutny
Nie moge sie doczekac dalszych efektow!,zaskoczony
Nie potrafie znalezc w sobie spokoju,przerazony
Zaraz to rozwiazemy,neutralny
Prosze o chwile cierpliwosci,neutralny
Znowu czuje sie jakbym stal w martwym punkcie.,smutny
Zglosze to po dokladniejszym przemysleniu,neutralny
To jest moje miejsce na ziemi.,kontemplujacy
To jest naprawde katastrofa. ,zdegustowany
Znowu czuje sie jakby nic sie nie udalo.,smutny
Zajmijmy sie tym pozniej,neutralny
Jestem pelen nadziei!,szczesliwy
Jestem calkowicie w szoku! ,zaskoczony
To cudowny dzien pelen szczescia!,szczesliwy
Potrzebuje chwili na potwierdzenie,neutralny
To straszne,przerazony
Zaraz cos strasznego sie wydarzy!,przerazony
Jestem pelen energii!,szczesliwy
Znowu musze przez to przejsc!,zly
Nie potrafie poradzic sobie z tym wszystkim.,smutny
To absolutnie nieakceptowalne. ,zdegustowany
To wyglada jak kompletna porazka. ,zdegustowany
Zglosze to po analizie,neutralny
Jestem w szczytowej formie!,szczesliwy
Po prostu wszystko mi sie wali,zly
Jestem wstrzasniety,przerazony
Za moment podam odpowiedz,neutralny
Za moment przygotuje odpowiedz,neutralny
Zajmijmy sie tym krok po kroku,neutralny
Po co to wszystko?,zly
To przekracza wszystkie granice,zdegustowany
Nie potrafie juz niczym sie cieszyc.,smutny
Zaraz zemdleje!,przerazony
To absolutnie cudowna chwila!,szczesliwy
Zaraz dostane ataku paniki!,przerazony
Zaraz strace zmysly z tego leku!,przerazony
To jak spelnione marzenie!,szczesliwy
To jak najlepszy wybor!,szczesliwy
